Id,Content Type,Page Type,Subdomain,Label,timeset,pageranks,eigencentrality
glossary/index.html#utf_32_encoding_scheme,,html,#,,,0.000351,0.01233
glossary/index.html#utf_8_encoding_form,,html,#,,,0.000351,0.01233
glossary/index.html#utf_8_encoding_scheme,,html,#,,,0.000351,0.01233
help/translation.html,,html,,,,0.00037,0.001912
http://.com,,out,,,,0.000362,0.002176
http://192.0.2.1,,out,,,,0.000421,0.002209
http://appsrv.cse.cuhk.edu.hk/~irg/,,out,,,,0.000406,0.02574
http://bb.at,,out,,,,0.000355,0.002176
http://BB.at,,out,,,,0.000355,0.002176
http://bby.com,,out,,,,0.000355,0.002176
http://Bcher.de,,out,,,,0.000355,0.002176
http://billposer.org/Software/unidesc.html,,html,,,,0.000357,0.004624
http://blog.unicode.org/,,html,blog,,,0.000481,0.063786
http://blog.unicode.org/2010/10/unicode-version-60-support-for-popular.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2011/02/unicode-version-60-complete-text-of.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2012/01/announcing-unicode-standard-version-61.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2012/04/unicode-version-61-complete-text-of.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2012/09/announcing-unicode-standard-version-62.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2012/11/the-unicode-6.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2013/09/announcing-unicode-standard-version-63.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2014/06/announcing-unicode-standard-version-70.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2014/10/unicode-version-70-complete-text-of.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2015/06/announcing-unicode-standard-version-80.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2015/08/unicode-version-80-complete-text-of.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2016/06/announcing-unicode-standard-version-90.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2016/06/encoding-mayan-script-your-adopt.html,,html,blog,,,0.00036,0.004857
http://blog.unicode.org/2016/07/adopt-character-grant-to-support.html,,html,blog,,,0.00036,0.004857
http://blog.unicode.org/2016/07/unicode-version-90-complete-text-of.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2016/12/adopt-character-grant-to-support-indic.html,,html,blog,,,0.000396,0.004857
http://blog.unicode.org/2017/06/announcing-unicode-standard-version-100.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2017/07/adopt-character-grant-to-support-three.html,,html,blog,,,0.000384,0.004857
http://blog.unicode.org/2017/08/unicode-100-paperback-available.html,,html,blog,,,0.000354,0.009747
http://blog.unicode.org/2018/02/adopt-character-grant-to-support-three.html,,html,blog,,,0.000412,0.059389
http://blog.unicode.org/2018/03/icu-61-released.html,,html,blog,,,0.000376,0.054532
http://blog.unicode.org/2018/06/announcing-unicode-standard-version-110.html,,html,blog,,,0.000387,0.08035
http://blog.unicode.org/feeds/posts/default?alt=rss,,html,blog,,,0.000388,0.059677
http://blogs.technet.com/srd/archive/2009/05/18/more-information-about-the-iis-authentication-bypass.aspx,,out,,,,0.000365,0.004466
http://ccnmtl.columbia.edu/projects/mmt/udhr/,,out,,,,0.000364,0.006165
http://checkers.peoplesoft.com/events.nsf/07dd07bae4e2a86b8825666700767bbf/f59d0dfabda3a051882569190047a690?OpenDocument,,out,,,,0.000355,0.007377
http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.41.9729,,out,,,,0.000355,0.007377
iso15924/codelists.html,,html,,,,0.000426,0.068139
http://cmcl.aai.uni-hamburg.de/~iacs/,,out,,,,0.000353,0.004514
http://cups.cs.cmu.edu/soups/2006/proceedings/p79_downs.pdf,,pdf,,,,0.000355,0.002176
http://czyborra.com/unicode/motivation.html,,out,,,,0.000355,0.007377
http://de.wikipedia.org/wiki/Christian_Galinski,,out,,,,0.000357,0.000545
http://de.wikipedia.org/wiki/Michael_Everson,,out,,,,0.000357,0.000545
http://deity.gov.in/,,out,,,,0.000355,0.004186
http://demo.icu-project.org/icu-bin/locexp,,out,,,,0.00035,0.009026
http://demo.icu-project.org/icu-bin/translit/,,out,,,,0.00035,0.009026
http://developpeur.journaldunet.com/tutoriel/theo/040518-encodages.shtml,,out,,,,0.000355,0.007377
http://devzone.zend.com/node/view/id/874,,out,,,,0.000355,0.007377
http://dictionary.sanseido-publ.co.jp/dicts/ja/unicode_cc/,,out,,,,0.000362,0.005763
http://docs.oracle.com/javase/6/docs/api/java/text/Collator.html,,out,,,,0.000357,0.008484
http://docs.oracle.com/javase/6/docs/api/java/text/RuleBasedCollator.html,,out,,,,0.000357,0.008484
http://docs.oracle.com/javase/7/docs/api/java/text/ChoiceFormat.html,,out,,,,0.00035,0.009026
http://docs.oracle.com/javase/7/docs/api/java/text/MessageFormat.html,,out,,,,0.00035,0.009026
http://donsnotes.com/tech/charsets/byte_intl_char.html,,out,,,,0.000355,0.007377
http://en.wikipedia.org/wiki/Favicon,,out,,,,0.000355,0.002176
http://en.wikipedia.org/wiki/Fitzpatrick_scale,,out,,,,0.000356,0.007438
http://en.wikipedia.org/wiki/Mark_Crispin,,out,,,,0.000372,0.004539
http://en.wikipedia.org/wiki/Network_Information_Centre,,out,,,,0.000355,0.002176
http://en.wikipedia.org/wiki/Regional_Indicator_Symbol,,out,,,,0.000356,0.007438
http://en.wikipedia.org/wiki/Sorting_algorithm,,out,,,,0.000357,0.008484
http://et.wikipedia.org/wiki/Peeter_Pll,,out,,,,0.000357,0.000545
http://fa.de,,out,,,,0.000355,0.002176
http://fontforge.sourceforge.net/,,out,,,,0.00036,0.005576
http://fonts.jp/hanazono/,,out,,,,0.000358,0.002201
http://googleblog.blogspot.ch/2012/02/unicode-over-60-percent-of-web.html,,html,blog,,,0.000359,0.004109
http://googleblog.blogspot.com/2008/05/moving-to-unicode-51.html,,out,,,,0.000355,0.007377
http://googleblog.blogspot.com/2010/01/unicode-nearing-50-of-web.html,,out,,,,0.000355,0.007377
http://home.ix.netcom.com/~asmus-inc/Tutorial5.0/index.html,,out,,,,0.00036,0.00861
http://i18napis.appspot.com/address/data/CH,,out,,,,0.00035,0.009026
http://i18napis.appspot.com/address/data/US,,out,,,,0.00035,0.009026
http://iana.org/,,out,,,,0.000358,0.00486
http://icu-project.org,,out,,,,0.000361,0.002081
http://incits.org/committees/l2,,out,,,,0.000358,0.00486
http://infitt.org,,out,,,,0.000374,0.004794
http://infitt.org/,,out,,,,0.000353,0.004514
http://inter-locale.com/ID/iuc27-a14.html,,out,,,,0.00036,0.00861
http://inter-locale.com/whitepaper/multilingual/ml73-ws-20050524.xml,,out,,,,0.00036,0.00861
http://java.sun.com/j2se/1.4.2/docs/api/,,out,,,,0.000364,0.004466
http://java.sun.com/j2se/1.5.0/docs/guide/intl/fontconfig.html,,out,,,,0.000371,0.004539
http://java.sun.com/javase/6/docs/technotes/guides/intl/fontconfig.html,,out,,,,0.000371,0.004539
http://jdlh.com/en/doc/2008/unicode_doggerel.html,,out,,,,0.000369,0.001803
http://labs.spotify.com/2013/06/18/creative-usernames/,,out,,,,0.000365,0.004466
http://lcweb.loc.gov/marc/specifications/speccharucs.html,,html,,,,0.000355,0.007377
http://lds.org/?lang=eng,,out,,,,0.000353,0.004514
http://lgi.osi.hu/documents.php?id=1244,,out,,,,0.000355,0.007377
http://linguistics.berkeley.edu/sei,,out,,,,0.000353,0.004514
http://linguistics.berkeley.edu/sei/,,out,,,,0.000455,0.034046
http://macchiato.com/slides/Unicode_from_a_distance.ppt,,out,,,,0.00036,0.00861
http://macchiato.com/slides/UnicodeMyths.pdf,,pdf,,,,0.00036,0.00861
http://mara.gov.om,,out,,,,0.000355,0.004186
http://mrdba.info/unicode-converter/,,out,,,,0.000359,0.001912
http://msdn.microsoft.com/en-us/library/aa331875.aspx,,out,,,,0.00035,0.009026
http://msdn.microsoft.com/en-us/library/ms679351.aspx,,out,,,,0.00035,0.009026
http://msdn.microsoft.com/en-us/library/system.globalization.cultureinfo(vs.71).aspx,,out,,,,0.00035,0.009026
http://msdn.microsoft.com/msdnmag/issues/07/01/Unicode/default.aspx,,out,,,,0.000355,0.007377
http://my.wikipedia.org/wiki/Wikipedia:Font,,out,,,,0.000359,0.001912
http://news.bbc.co.uk/2/hi/africa/7138128.stm,,out,,,,0.000355,0.007377
http://obits.dignitymemorial.com/dignity-memorial/obituary.aspx?n=Michael-Kaplan&lc=4246&pid=176192738&uuid=ec6b8cda-c4b1-4b5f-9422-925b1e09a03a,,out,,,,0.000372,0.004539
http://oreilly.com/catalog/9780596514471/,,out,,,,0.000362,0.005763
http://oss.software.ibm.com/icu/charset/,,out,,,,0.000362,0.010633
http://ossipedia.ipa.go.jp/ipafont/,,out,,,,0.000358,0.002201
http://people.ischool.berkeley.edu/~hearst/papers/why_phishing_works.pdf,,pdf,,,,0.000355,0.002176
http://people.w3.org/rishida/blog/?p=70,,out,,,,0.000355,0.007377
http://planetmath.org/stablesortingalgorithm,,out,,,,0.000357,0.008484
http://r12a.github.io/apps/conversion/,,out,,,,0.000371,0.001912
http://r12a.github.io/scripts/fontlist/,,out,,,,0.000355,0.004991
http://repositories.cdlib.org/tlg/unicode/,,out,,,,0.000361,0.011468
http://rishida.net/scripts/myanmar/,,out,,,,0.000359,0.001912
http://rishida.net/scripts/uniview/,,out,,,,0.000357,0.004624
http://rishida.net/tools/analysestring/,,out,,,,0.000357,0.004624
http://rishida.net/tools/conversion/,,out,,,,0.000357,0.004624
http://san-jose.cafebonappetit.com/cafe/layers-adobe/,,out,,,,0.000421,0.002209
http://scccroselfservice.org/web/document/DOC462S21743,,out,,,,0.000363,0.014313
http://scripts.sil.org/cms/scripts/page.php?site_id=nrsi&id=IWS-Chapter03,,out,,,,0.000355,0.007377
http://scripts.sil.org/cms/scripts/page.php?site_id=nrsi&id=IWS-Chapter04a,,out,,,,0.000355,0.007377
http://scripts.sil.org/cms/scripts/page.php?site_id=nrsi&id=IWS-Chapter04b,,out,,,,0.000355,0.007377
http://scripts.sil.org/cms/scripts/page.php?site_id=projects&item_id=graphite_apps,,out,,,,0.000355,0.004991
http://scripts.sil.org/cms/scripts/page.php?site_id=projects&item_id=graphite_devFont,,out,,,,0.000355,0.004991
http://scripts.sil.org/cms/scripts/page.php?site_id=projects&item_id=graphite_home,,out,,,,0.000355,0.004991
http://scripts.sil.org/GraphiteCompilerDownload,,out,,,,0.000355,0.004991
http://scriptsource.org/,,out,,,,0.000382,0.018538
http://search.cpan.org/~bdfoy/Unicode-Tussle-1.03/lib/Unicode/Tussle.pm,,out,,,,0.000357,0.004624
http://shop.csa.ca/,,out,,,,0.000357,0.008484
http://site.icu-project.org/,,out,,,,0.000485,0.086926
http://site.icu-project.org/bugs,,out,,,,0.000356,0.004671
http://site.icu-project.org/charts/charset,,out,,,,0.000375,0.001912
http://site.icu-project.org/contacts,,out,,,,0.000385,0.013561
http://site.icu-project.org/download,,out,,,,0.000355,0.007383
http://site.icu-project.org/home,,out,,,,0.000356,0.004671
http://sites.google.com,,out,,,,0.000366,0.011692
http://sites.google.com/site/unicodelitc/system/app/pages/reportAbuse,,out,,,,0.000359,0.00473
http://smile.amazon.com/ch/77-0269756,,out,,,,0.000365,0.004295
http://source.icu-project.org/repos/icu/icuhtml/trunk/design/jit_localization.html,,html,,,,0.00035,0.009026
http://standards.iso.org/ittf/PubliclyAvailableStandards/index.html,,html,,,,0.000404,0.012349
http://std.dkuug.dk/JTC1/SC2/,,out,,,,0.000353,0.004514
http://std.dkuug.dk/jtc1/sc2/wg2/,,out,,,,0.00037,0.014045
http://std.dkuug.dk/jtc1/sc2/wg2/docs/n2908.pdf,,pdf,,,,0.00036,0.001912
http://std.dkuug.dk/jtc1/sc2/wg2/docs/n2934.pdf,,pdf,,,,0.00036,0.001912
http://std.dkuug.dk/jtc1/sc2/wg2/docs/n3312.pdf,,pdf,,,,0.00036,0.001912
http://std.dkuug.dk/jtc1/sc2/wg2/docs/n3334.pdf,,pdf,,,,0.00036,0.001912
http://std.dkuug.dk/jtc1/sc2/wg2/latestdocs.html,,html,,,,0.00036,0.001912
http://tcvn.gov.vn,,out,,,,0.000353,0.004514
http://tf.nist.gov/,,out,,,,0.00035,0.009026
http://tftus.com/,,out,,,,0.000355,0.004186
http://twitter.com/unicode/,,out,,,,0.000416,0.059677
http://udhr.video,,out,,,,0.000364,0.006165
http://udhr.video/,,out,,,,0.000364,0.006165
http://uli./,,out,,,,0.000376,0.054532
http://uli.unicode.org/,,html,,,,0.000459,0.087255
http://uli.unicode.org/home/uli-charter,,html,,,,0.000359,0.00473
http://unicode-inc.blogspot.com/,,out,,,,0.000392,0.019127
http://unstats.un.org/unsd/methods/m49/m49.htm,,out,,,,0.00035,0.009026
http://unstats.un.org/unsd/methods/m49/m49regin.htm,,out,,,,0.00035,0.009026
http://userguide.icu-project.org/collation,,out,,,,0.000357,0.008484
http://utilika.org/,,out,,,,0.000353,0.004514
http://validator.w3.org,,out,,,,0.000363,0.014313
http://validator.w3.org/,,out,,,,0.000371,0.001912
http://varamozhi.sourceforge.net/iscii91.pdf,,pdf,,,,0.00036,0.005576
http://w3techs.com/technologies/details/en-utf8/all/all,,out,,,,0.000359,0.004109
http://web.tiscali.it/marco.cimarosti/pro_graf.html,,html,,,,0.000355,0.007377
http://webstore.ansi.org/,,out,,,,0.000375,0.002185
http://wikimediafoundation.org/wiki/Home,,out,,,,0.000353,0.004514
timesens/logistics-utc154.html,,html,,,,0.000353,0.005239
http://www.511.org,,out,,,,0.000391,0.000833
http://www.aa.tufs.ac.jp/en,,out,,,,0.000353,0.004514
http://www.adobe.com,,out,,,,0.000355,0.004186
http://www.adobe.com/devnet/opentype/,,out,,,,0.00036,0.005576
http://www.adobe.com/devnet/opentype/afdko/,,out,,,,0.000358,0.002201
http://www.adobe.com/go/Connectsetup,,out,,,,0.000376,0.000961
http://www.adobe.com/go/ConnectSetupMac,,out,,,,0.000376,0.000961
http://www.adobe.com/type/,,out,,,,0.000358,0.002201
http://www.alanwood.net/unicode/browsers.html,,html,,,,0.000371,0.004539
http://www.alanwood.net/unicode/fonts.html,,html,,,,0.00036,0.005576
http://www.alanwood.net/unicode/index.html,,html,,,,0.000371,0.004539
http://www.amazon.cn/gp/product/B00328IJ46?ver=gp&qid=1278002870&ref_=sr_1_1,,out,,,,0.000362,0.005763
http://www.amazon.com/exec/obidos/ASIN/1932026010/qid=1040674501/sr=11-1/ref=sr_11_1/002-5506471-6814454,,out,,,,0.000362,0.005763
http://www.amazon.com/exec/obidos/tg/feature/-/13004/,,out,,,,0.000355,0.007377
http://www.amazon.com/gp/product/0201700522/ref=pd_bxgy_img_b/002-7513385-3217658?_encoding=UTF8,,out,,,,0.000362,0.005763
http://www.amazon.com/gp/product/059610121X/qid=1151699952/sr=2-1/ref=pd_bbs_b_2_1/104-1645367-4868763?s=books&v=glance&n=283155,,out,,,,0.000362,0.005763
http://www.amazon.com/gp/product/0764546252/sr=8-1/qid=1144263998/ref=sr_1_1/002-7513385-3217658?_encoding=UTF8,,out,,,,0.000362,0.005763
http://www.amazon.fr/exec/obidos/ASIN/2711748278/qid=1151700038/sr=1-1/ref=sr_1_8_1/403-2470472-7172457,,out,,,,0.000362,0.005763
http://www.amazon.fr/exec/obidos/ASIN/2746205947/qid=1151700038/sr=1-2/ref=sr_1_8_2/403-2470472-7172457,,out,,,,0.000362,0.005763
http://www.amazon.fr/Unicode-5-0-pratique-Mark-Davis/dp/2100511408/ref=sr_1_1?ie=UTF8&s=books&qid=1213284665&sr=8-1,,out,,,,0.000362,0.005763
http://www.ansi.org,,out,,,,0.000363,0.005143
http://www.ansi.org/,,out,,,,0.000358,0.00486
http://www.ansi.org/internet_resources/overview/overview.aspx?menuid=12,,out,,,,0.000358,0.00486
http://www.apple.com,,out,,,,0.000355,0.004186
http://www.authorize.net/,,out,,,,0.000365,0.004295
http://www.babelstone.co.uk/Unicode/whatisit.html,,html,,,,0.000357,0.004624
http://www.basistech.com,,out,,,,0.000355,0.004186
http://www.bing.com,,out,,,,0.00052,0.037323
http://www.bortzmeyer.org/idn-et-phishing.html,,html,,,,0.000372,0.006642
http://www.cdfg.org,,out,,,,0.000353,0.004514
http://www.cdfg.org/,,out,,,,0.000353,0.004514
http://www.cl.cam.ac.uk/~mgk25/download/ucs-fonts.tar.gz,,out,,,,0.000371,0.004539
http://www.cl.cam.ac.uk/~mgk25/ucs-fonts.html,,html,,,,0.000371,0.004539
http://www.cl.cam.ac.uk/~mgk25/unicode.html#examples,,html,#,,,0.000375,0.001912
http://www.cnn.com/2000/TECH/computing/03/31/one.alphabet.idg/,,out,,,,0.000355,0.007377
http://www.compart.com/,,out,,,,0.000355,0.004186
